Métier;Secteur d'activité;Domaine d'activité;Fiche Métier;Niveau hiérarchique;Diplômes requis;Salaire (moyenne);Type MBTI;Communication;Esprit critique;Éthique;Intel. émotionnelle;Intel. sociale;Mgmt de projet;Mgmt d'équipe;Organisation;E/I;S/N;T/F;J/P;Descriptif;Diplomes requis;Salaire;Cap_Aider;Cap_Communiquer;Cap_Concevoir;Cap_Conseiller;Cap_Diriger;Cap_Manipuler;Cap_Preparer;Cap_Analyser;Cap_Saisir;code_rome;transition_eco;transition_num
Adjoint administratif;Administration;Administratif;→ Fiche métier;Opérationnel;;;ISTJ;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;L'adjoint administratif assure des tâches de gestion courante : saisie, classement, rédaction de courriers et accueil. Il travaille en appui d'une équipe dans les secteurs public ou privé.;Bac à Bac+2 (BTS Assistant de gestion);1 600€ → 2 200€/mois;;Oui;;Oui;;;;Oui;Oui;M1602;;
Agent administratif;Administration;Administratif;→ Fiche métier;Opérationnel;;;ISTJ;Nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;L'agent administratif traite les opérations administratives courantes : dossiers, courriers, accueil des usagers. Il veille au bon fonctionnement du service.;Bac;1 600€ → 2 100€/mois;;;;;;Oui;;Oui;Oui;M1602;;
Assistangt gestion PME-PMI;"Administration ; Commerce";Administratif;→ Fiche métier;Opérationnel;;;ISTJ;Nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;L'assistant de gestion PME-PMI assiste le dirigeant dans la gestion administrative, comptable et commerciale de l'entreprise. Il assure le suivi des dossiers clients, fournisseurs et salariés.;BTS GPME (Gestion de la PME);1 900€ → 2 800€/mois;;Oui;;Oui;;;;Oui;Oui;;;
Assitante de direction;"Administration ; Commerce ; Banque - finance";Services aux entreprises;→ Fiche métier;Opérationnel;;;ENFJ;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;L'assistante de direction organise l'agenda du dirigeant, prépare ses réunions, gère la correspondance et coordonne les informations entre les services. Elle est la clé de voûte de l'organisation d'un dirigeant.;Bac+2 (BTS Assistant de direction);2 000€ → 3 200€/mois;;Oui;;Oui;;;;Oui;Oui;M1604;;
Chargée d'acceuil;"Administration ; Commerce";Accueil - service - suivi client;→ Fiche métier;Opérationnel;;;ESFP;Absolument nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;E;S;F;P;La chargée d'accueil reçoit et oriente les visiteurs, répond aux appels téléphoniques et assure les tâches administratives courantes. Elle est le premier contact de l'organisation.;Bac à Bac+2 (accueil, secrétariat);1 700€ → 2 300€/mois;;Oui;;;;;;Oui;Oui;;;
Chargé de mission;"Administration ; Commerce ; Environnement ; Humanitaire ; Politique ; Social ; Culture";Administratif;→ Fiche métier;Opérationnel;;;ESFJ;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;Le chargé de mission pilote des projets transversaux pour une organisation. Il analyse, propose des solutions et assure le suivi des actions définies par sa direction.;Bac+4 à Bac+5;2 500€ → 4 000€/mois;;Oui;;;Oui;;;Oui;Oui;M1402;;
Directeur des ressources humaines;"Ressources humaines ; Commerce ; Industrie ; Informatique - numérique - digital ; Banque - finance ; Médical - santé - Pharmaceutique ; Administration ; Agroalimentaire";Stratégie;→ Fiche métier;Directeur;;;ESFJ;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;E;S;F;J;Le DRH pilote la politique RH : recrutement, formation, gestion des carrières, relations sociales. Il conseille la direction et garantit le développement des talents.;Bac+5 (Master RH ou école de commerce);4 500€ → 9 000€/mois;;Oui;;Oui;Oui;;;Oui;;M1503;;
Documentaliste;Administration;Administratif;→ Fiche métier;Opérationnel;;;ESFJ;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;Le documentaliste collecte, classe et diffuse l'information documentaire. Il gère des fonds documentaires et accompagne les utilisateurs dans leurs recherches.;Bac+3 à Bac+5 (Master documentation);1 900€ → 3 000€/mois;;Oui;;Oui;;;;Oui;Oui;K1601;;
Juriste d'entreprise;"Droit - justice ; Commerce ; Banque - finance ; Industrie ; Administration ; Informatique - numérique - digital ; Médical - santé - Pharmaceutique ; Assurance ; Immobilier ; Agroalimentaire";Juridique;→ Fiche métier;Opérationnel;;;ENFJ;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;Le juriste d'entreprise conseille les directions sur les aspects juridiques des opérations (contrats, litiges, conformité). Il rédige les actes et suit l'évolution réglementaire.;Bac+5 (Master Droit);3 000€ → 5 500€/mois;;Oui;;Oui;;;;Oui;Oui;K1903;;
Office manager;"Administration ; Informatique - numérique - digital ; Commerce ; Industrie ; Banque - finance ; Assurance ; Aéronautique et transport aérien ; Énergie";Administratif;→ Fiche métier;Opérationnel;;;ESFJ;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;L'office manager coordonne le fonctionnement opérationnel d'un bureau : gestion des fournisseurs, accueil, organisation d'événements internes et support aux équipes.;Bac+2 à Bac+3;2 200€ → 3 500€/mois;;Oui;;Oui;;;;Oui;Oui;M1604;;
