N;Métier;Secteur(s) activité;Domaine;Niveau;Diplômes;Salaire;Descriptif;ONISEP;Communication;Esprit critique;Éthique;Intel. émotionnelle;Intel. sociale;Mgmt de projet;Mgmt d'équipe;Organisation;E/I;S/N;T/F;J/P;Aider;Communiquer;Concevoir;Conseiller;Diriger;Manipuler;Preparer;Analyser;Saisir;Code ROME;Eco;Num
1;Adjoint administratif;Administration;Administratif;Opérationnel;Bac à Bac+2 (BTS Assistant de gestion);1 600€ → 2 200€/mois;L'adjoint administratif assure des tâches de gestion courante : saisie, classement, rédaction de courriers et accueil. Il travaille en appui d'une équipe dans les secteurs public ou privé.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;;V;;V;;;;V;V;M1602;;
2;Agent administratif;Administration;Administratif;Opérationnel;Bac ou équivalent + concours agent administratif de catégorie C;1 600€ → 2 100€/mois;L'agent administratif traite les opérations administratives courantes : dossiers, courriers, accueil des usagers. Il veille au bon fonctionnement du service.;ONISEP;Nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;;;;;;V;;V;V;M1602;;
3;Assistangt gestion PME-PMI;Administration;Administratif;Opérationnel;BTS Gestion de la PME ou Licence pro Management des PME;1 600€ → 3 500€/mois;L'assistant de gestion PME-PMI assure la gestion administrative et comptable d'une petite ou moyenne entreprise. Il traite la correspondance, gère la facturation, suit les règlements, prépare les déclarations sociales et fiscales et assiste le dirigeant dans ses tâches quotidiennes.;ONISEP;Nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;;V;;V;;;;V;V;;;
4;Assitante de direction;Administration;Administratif;Opérationnel;BTS Assistant de manager ou Licence pro Secrétariat de direction;1 600€ → 3 500€/mois;L'assistante de direction organise et optimise le travail d'un dirigeant ou d'un cadre supérieur. Elle gère l'agenda, prépare les réunions, rédige les comptes rendus, filtre les communications, coordonne les déplacements et assure la confidentialité des informations stratégiques.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;;V;;V;;;;V;V;M1604;;
5;Chargée d'acceuil;Administration;Accueil et service client;Opérationnel;Bac+3 à Bac+5;2 200€ → 4 000€/mois;La chargée d'accueil accueille physiquement et téléphoniquement les visiteurs et les clients. Elle oriente les personnes vers les bons interlocuteurs, gère les agendas de réservation, répond aux demandes de renseignements et représente l'image de l'organisation.;ONISEP;Absolument nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;E;S;F;P;;V;;;;;;V;V;;;
6;Chargé de mission;"Administration ; Environnement ; Humanitaire ; Politique ; Social ; Culture";Administratif;Opérationnel;Bac+4 à Bac+5;2 500€ → 4 000€/mois;Le chargé de mission pilote des projets transversaux pour une organisation. Il analyse, propose des solutions et assure le suivi des actions définies par sa direction.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;;V;;;V;;;V;V;M1402;;
7;Directeur des ressources humaines;"Ressources humaines ; Commerce ; Industrie ; Administration";Stratégie;Directeur;Bac+5 (Master RH ou école de commerce);4 500€ → 9 000€/mois;Le DRH pilote la politique RH : recrutement, formation, gestion des carrières, relations sociales. Il conseille la direction et garantit le développement des talents.;ONISEP;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;E;S;F;J;;V;;V;V;;;V;;M1503;;
8;Documentaliste;"Administration ; Édition et métier du livre - littérature";Administratif;Opérationnel;Bac+3 à Bac+5 (Master documentation);1 900€ → 3 000€/mois;Le documentaliste collecte, classe et diffuse l'information documentaire. Il gère des fonds documentaires et accompagne les utilisateurs dans leurs recherches.;ONISEP;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;;V;;V;;;;V;V;K1601;;
9;Juriste d'entreprise;"Droit - justice ; Commerce ; Administration";Juridique;Opérationnel;Bac+5 (Master Droit);3 000€ → 5 500€/mois;Le juriste d'entreprise conseille les directions sur les aspects juridiques des opérations (contrats, litiges, conformité). Il rédige les actes et suit l'évolution réglementaire.;ONISEP;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;;V;;V;;;;V;V;K1903;;
10;Office manager;"Administration ; Commerce ; Industrie";Administratif;Opérationnel;Bac+2 à Bac+3;2 200€ → 3 500€/mois;L'office manager coordonne le fonctionnement opérationnel d'un bureau : gestion des fournisseurs, accueil, organisation d'événements internes et support aux équipes.;ONISEP;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;;V;;V;;;;V;V;M1604;;
11;Responsable de gestion administrative;"Administration ; Commerce ; Industrie";Administratif;Manager;Bac+3 à Bac+5;2 800€ → 4 500€/mois;Le responsable de gestion administrative supervise les processus administratifs, manage une équipe et assure le bon fonctionnement des services support.;ONISEP;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;E;S;F;J;;V;;;V;;;V;;M1701;;
12;Responsable de l'administration du personnel;"Administration ; Ressources humaines";Administratif;Manager;Bac+3 à Bac+5;2 800€ → 5 500€/mois;Le responsable de l'administration du personnel pilote les processus administratifs RH d'une organisation. Il supervise la gestion des contrats, des paies, des congés et des déclarations sociales, s'assure de la conformité légale et encadre l'équipe de gestionnaires de paie.;ONISEP;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;;V;;;V;;;V;;M1509;;
